instance 1	density: 0.70260	numEdges: 174948
instance 2	density: 0.03383	numEdges: 88
instance 3	density: 0.49890	numEdges: 124725
instance 4	density: 0.06734	numEdges: 16835
instance 5	density: 0.99787	numEdges: 249466
instance 6	density: 0.48898	numEdges: 599
instance 7	density: 0.07716	numEdges: 25
instance 8	density: 0.01250	numEdges: 500
instance 9	density: 0.99799	numEdges: 247506
instance 10	density: 0.49824	numEdges: 124560
instance 11	density: 0.00260	numEdges: 600
instance 12	density: 0.49572	numEdges: 123929
instance 13	density: 0.00710	numEdges: 284
instance 14	density: 0.00440	numEdges: 1100
instance 15	density: 0.41400	numEdges: 103500
instance 16	density: 0.01390	numEdges: 3474
instance 17	density: 0.14000	numEdges: 14
instance 18	density: 0.03930	numEdges: 393
instance 19	density: 0.22636	numEdges: 56591
instance 20	density: 0.29830	numEdges: 74576
instance 21	density: 0.49909	numEdges: 124771
instance 22	density: 0.09000	numEdges: 9
instance 23	density: 0.49980	numEdges: 124951
instance 24	density: 0.00790	numEdges: 79
instance 25	density: 0.49962	numEdges: 79939
instance 26	density: 0.01080	numEdges: 27
instance 27	density: 0.50040	numEdges: 45035
instance 28	density: 0.49842	numEdges: 124606
instance 29	density: 0.36013	numEdges: 90032
instance 30	density: 0.49300	numEdges: 4930
instance 31	density: 0.49900	numEdges: 101047
instance 32	density: 0.00447	numEdges: 548
instance 33	density: 0.50056	numEdges: 80089
instance 34	density: 0.00262	numEdges: 656
instance 35	density: 0.01970	numEdges: 197
instance 36	density: 0.49807	numEdges: 124021
instance 37	density: 0.00720	numEdges: 72
instance 38	density: 0.04014	numEdges: 7353
instance 39	density: 0.20000	numEdges: 50001
instance 40	density: 0.00043	numEdges: 36
instance 41	density: 0.50068	numEdges: 125169
instance 42	density: 0.98919	numEdges: 247297
instance 43	density: 0.99800	numEdges: 249500
instance 44	density: 0.33333	numEdges: 3
instance 45	density: 0.01000	numEdges: 100
instance 46	density: 0.03941	numEdges: 7981
instance 47	density: 0.22222	numEdges: 2
instance 48	density: 0.00272	numEdges: 680
instance 49	density: 0.00399	numEdges: 997
instance 50	density: 0.49500	numEdges: 4950
instance 51	density: 0.12000	numEdges: 3
instance 52	density: 0.49958	numEdges: 123898
instance 53	density: 0.49150	numEdges: 4915
instance 54	density: 0.00748	numEdges: 1869
instance 55	density: 0.49784	numEdges: 122477
instance 56	density: 0.10154	numEdges: 25386
instance 57	density: 0.10231	numEdges: 25578
instance 58	density: 0.19985	numEdges: 7994
instance 59	density: 0.01561	numEdges: 153
instance 60	density: 0.24000	numEdges: 6
instance 61	density: 0.10000	numEdges: 10
instance 62	density: 0.19184	numEdges: 47961
instance 63	density: 0.07444	numEdges: 66
instance 64	density: 0.77090	numEdges: 192725
instance 65	density: 0.00507	numEdges: 1050
instance 66	density: 0.00000	numEdges: 0
instance 67	density: 0.49753	numEdges: 124383
instance 68	density: 0.20002	numEdges: 50006
instance 69	density: 0.00490	numEdges: 49
instance 70	density: 0.13580	numEdges: 10
instance 71	density: 0.00880	numEdges: 88
instance 72	density: 0.59898	numEdges: 149147
instance 73	density: 0.00500	numEdges: 200
instance 74	density: 0.21813	numEdges: 8725
instance 75	density: 0.32611	numEdges: 81528
instance 76	density: 0.11720	numEdges: 293
